validation_rmse, embedding_type, embedding_dimensionality, hidden_layer_dimensions, n_train_samples, learning_rate
0.9980882037895801, pca, 170, (85,), 1059257, 0.0001
0.9959443589200793, nmf, 180, (90,), 1059257, 0.0001
0.9930591766372251, nmf, 150, (75, 37), 1059257, 0.0001
0.9946974101490083, nmf, 160, (80, 40), 1059257, 0.0001
0.9980697876699257, pca, 190, (95,), 1059257, 0.0001
0.9973860454755797, svd, 130, (65, 32, 16), 1059257, 0.0001
0.9947125146782329, pca, 180, (90,), 1059257, 0.0001
0.9977573390991441, nmf, 190, (95,), 1059257, 0.0001
0.9947669849005136, pca, 190, (95, 47), 1059257, 0.0001
0.9934000713981056, pca, 180, (90, 45), 1059257, 0.0001
0.9936837413914515, nmf, 170, (85, 42), 1059257, 0.0001
0.9965254126925732, nmf, 190, (95, 47), 1059257, 0.0001
0.9945304279960611, nmf, 170, (85,), 1059257, 0.0001
0.9945072883806182, nmf, 170, (85, 42, 21), 1059257, 0.0001
